Date,Open,High,Low,Close,Volume
12/13/2023,633.92,642.6,631,642,"2,436,857"
12/12/2023,627.44,629.69,623.21,629.5,"2,374,394"
12/11/2023,621.97,625.03,618.76,623.86,"2,139,261"
12/8/2023,608.6,613.61,607.73,610.78,"1,502,329"
12/7/2023,610,612.35,606.35,610.95,"1,690,366"
12/6/2023,605.5,608.48,603.86,607.43,"2,234,139"
12/5/2023,598.53,608.88,597.03,605.35,"2,349,732"
12/4/2023,592.15,599.53,591.46,599.08,"1,624,045"
12/1/2023,593.28,596.35,590.59,596.25,"1,475,343"
11/30/2023,587.83,593.07,582.83,592.74,"1,755,214"
11/29/2023,595.2,595.21,587.42,587.86,"1,319,844"
11/28/2023,593.19,597.42,591.42,594,"1,286,847"
11/27/2023,592.52,599.94,592.41,594.9,"1,627,378"
11/24/2023,591.02,594.2,590.41,591.36,"645,766"
11/22/2023,586.85,591.14,586.35,589.08,"1,068,932"
11/21/2023,582,584.95,577.71,584.3,"1,173,710"
11/20/2023,577.34,582.32,577.34,580.8,"1,624,460"
11/17/2023,578.9,579.92,574.06,577.15,"1,774,272"
11/16/2023,586.38,586.59,572.24,578.58,"2,954,653"
11/15/2023,593.99,599.89,593.39,596.78,"2,165,104"
11/14/2023,581.74,591.55,581.21,590.8,"2,037,639"
11/13/2023,575,579.95,573.49,578.23,"1,650,942"
11/10/2023,567.9,577.89,564.94,577.12,"1,909,263"
11/9/2023,569,569,562.01,563.27,"1,288,443"
11/8/2023,572.12,572.99,564.3,567.38,"1,343,554"
11/7/2023,572.5,573.89,569.56,571.27,"1,373,229"
11/6/2023,560.49,572.65,560.13,569.82,"2,056,898"
11/3/2023,557.33,562.99,555.23,560.9,"1,826,753"
11/2/2023,556.5,559.51,552.01,555.97,"2,100,573"
11/1/2023,555,558.44,549.65,556.8,"1,735,315"
10/31/2023,552.16,554.03,549.06,552.44,"1,394,661"
10/30/2023,545.74,556.36,543.64,554.88,"1,696,182"
10/27/2023,547.6,548.03,540.23,543.03,"1,503,322"
10/26/2023,549.65,554.66,545.53,547.6,"1,925,263"
10/25/2023,548.55,553.83,545.61,549.99,"1,757,470"
10/24/2023,552.1,555.99,549.33,551.84,"1,678,622"
10/23/2023,554.14,556.93,546.63,552.29,"1,776,509"
10/20/2023,566.54,566.67,552.01,552.93,"2,295,445"
10/19/2023,573.7,575.85,564.11,565.63,"2,019,564"
10/18/2023,573.92,577.3,572,574.64,"1,311,893"
10/17/2023,571.94,576.06,570.71,574.34,"1,404,801"
10/16/2023,569.69,574.1,568.52,572.24,"1,428,517"
10/13/2023,563.85,567.44,561.98,566.84,"1,244,163"
10/12/2023,568.05,569.14,562.38,563.78,"1,457,979"
10/11/2023,564.85,566.5,560.2,565.52,"1,449,996"
10/10/2023,559.92,566.95,557.24,562.09,"2,176,975"
10/9/2023,555,559.75,549.78,558.97,"1,781,511"
10/6/2023,566.09,566.95,542.63,557.53,"4,246,692"
10/5/2023,572.17,574.75,564.36,569.52,"1,579,732"
10/4/2023,569.49,572.61,563.76,571.8,"1,798,756"
10/3/2023,571.1,576.19,563.01,565.04,"2,007,373"
10/2/2023,567.91,571.74,564,571.31,"1,831,713"
9/29/2023,570,570.99,560.7,564.96,"1,887,507"
9/28/2023,564.07,572.18,564.07,568.63,"2,192,427"
9/27/2023,547.38,566.5,544.73,563.53,"4,591,429"
9/26/2023,559.15,561.37,552,552.96,"2,425,106"
9/25/2023,559.49,561.27,554.74,558.62,"1,313,326"
9/22/2023,555.16,562.97,554.78,558.59,"1,527,941"
9/21/2023,564.07,564.57,554.28,555.08,"1,688,396"
9/20/2023,564.35,569.22,562.66,563.83,"1,312,150"
9/19/2023,561.64,565.33,559.43,564.35,"1,145,422"
9/18/2023,558.18,564.19,557.47,562.72,"1,003,221"
9/15/2023,565.33,565.51,555.54,556.36,"2,945,317"
9/14/2023,564.81,566.7,560.25,564.77,"1,257,325"
9/13/2023,558.3,560.44,554.62,559.76,"1,162,710"
9/12/2023,559.28,560.4,556.18,558.79,"1,055,620"
9/11/2023,552.81,559.39,551.86,558.78,"1,388,639"
9/8/2023,549.07,552.38,548.1,551.19,"1,077,496"
9/7/2023,548.65,550.99,544.29,548.62,"1,340,191"
9/6/2023,541.72,548.68,540.18,546.69,"1,476,602"
9/5/2023,545.73,549.19,544,544.73,"1,714,296"
9/1/2023,553.07,553.48,540.64,544.25,"1,437,729"
8/31/2023,540,552.2,540,549.28,"2,086,507"
8/30/2023,542.73,544.42,539.31,542.26,"1,292,815"
8/29/2023,534.34,543.07,534.34,542.77,"1,468,521"
8/28/2023,536,537.04,533.12,536.19,"945,776"
8/25/2023,532.91,535.79,530.56,534.01,"1,511,474"
8/24/2023,539.29,541,530.82,531.71,"1,587,505"
8/23/2023,538.96,541.17,536.24,540.86,"1,295,812"
8/22/2023,541.96,541.96,537.5,538.37,"1,286,150"
8/21/2023,543.86,545.15,536.3,543.21,"2,076,349"
8/18/2023,546.92,549.47,543.11,544.94,"1,878,090"
8/17/2023,559.47,560.42,545.08,547.11,"1,941,923"
8/16/2023,561.7,564.95,558.72,559.05,"1,340,290"
8/15/2023,561.05,565.16,558.2,558.51,"1,124,458"
8/14/2023,564.77,567.71,560.44,561.47,"1,247,567"
8/11/2023,560.35,565,559.03,562.96,"1,043,176"
8/10/2023,563.2,569.21,560.7,561.49,"1,107,233"
8/9/2023,557.98,562.09,556.81,559.7,"1,471,780"
8/8/2023,558,558.9,551.84,556.12,"1,020,524"
8/7/2023,554.99,559.56,554.99,558.41,"1,015,378"
8/4/2023,561.07,561.29,551.41,552.04,"1,141,952"
8/3/2023,553.53,560.35,552.22,557.69,"1,464,010"
8/2/2023,552.26,556.63,551.02,552.35,"1,636,012"
8/1/2023,560.63,562.88,554.54,555.47,"1,446,026"
7/31/2023,563,564.29,559.05,560.67,"1,366,148"
7/28/2023,564.58,567.81,562.62,563.32,"1,371,583"
7/27/2023,567.72,571.16,560.6,561.83,"1,485,269"
7/26/2023,565.51,568.03,563.42,566.17,"1,306,402"
7/25/2023,566.77,567.55,564.3,565.19,"1,602,739"
7/24/2023,558,566.57,555.88,563.93,"2,087,252"
7/21/2023,559.17,562.05,557.45,557.86,"5,264,337"
7/20/2023,553.81,561.07,553.71,556.96,"1,732,780"
7/19/2023,554.48,555.89,552.02,554.11,"1,261,093"
7/18/2023,552.67,555,549.39,553.59,"1,779,168"
7/17/2023,546.18,554.21,546.1,552.96,"1,910,253"
7/14/2023,538.71,546.86,538.1,546.7,"1,828,704"
7/13/2023,537.8,539.12,532.79,538.45,"1,647,200"
7/12/2023,532,540.11,531.11,538,"1,960,548"
7/11/2023,527.5,530.76,526.15,529.64,"1,262,318"
7/10/2023,525.06,531.15,525.06,527.01,"1,955,628"
7/7/2023,533.89,536.46,524.63,525.05,"2,740,555"
7/6/2023,538.88,540.3,536.58,537.37,"1,752,931"
7/5/2023,541.22,546.05,537.5,541.13,"1,632,415"
7/3/2023,537.25,541.08,534.34,541.04,"950,547"
6/30/2023,534.17,539.56,533.63,538.38,"2,222,116"
6/29/2023,530.58,532.45,528.95,531.69,"1,121,756"
6/28/2023,528.98,533.49,528.61,532.8,"1,245,157"
6/27/2023,522.65,532.41,522.1,530.33,"1,673,558"
6/26/2023,524.4,524.87,521.26,523.42,"1,278,456"
6/23/2023,523.13,525.4,519.34,524.44,"1,434,348"
6/22/2023,520.69,524.68,519.68,524.2,"1,114,175"
6/21/2023,517.91,521.64,516.54,519.62,"1,273,579"
6/20/2023,521.95,522.9,518.14,519.7,"1,684,741"
6/16/2023,530.1,530.42,522.63,523.65,"3,147,777"
6/15/2023,529,531.26,526.66,529.18,"1,871,610"
6/14/2023,525,527.85,523.14,527.2,"1,841,361"
6/13/2023,522.02,522.95,517.91,522.02,"1,204,672"
6/12/2023,517.28,521.27,516,520.97,"1,405,065"
6/9/2023,518.19,522.06,515.5,517.28,"1,287,649"
6/8/2023,512.5,520.29,512.5,520.09,"1,530,979"
6/7/2023,514.51,519.29,510.57,511.23,"1,784,661"
6/6/2023,518.25,518.63,512.76,516.26,"1,410,270"
6/5/2023,512.59,518.92,512.02,518.25,"2,023,528"
6/2/2023,510.32,518.5,509.4,512.59,"2,284,798"
6/1/2023,509.33,513.74,502.1,512.6,"2,407,734"
5/31/2023,508.86,513.87,504.95,511.56,"3,320,765"
5/30/2023,509.79,514.8,501.59,508.03,"2,544,804"
5/26/2023,485.65,510.75,484.12,507.26,"5,302,638"
5/25/2023,480.21,488.54,476.75,486.55,"3,421,937"
5/24/2023,487.25,487.25,480.91,482.76,"1,600,596"
5/23/2023,487.17,487.17,482.97,484.87,"1,800,161"
5/22/2023,497,497,488.54,491.87,"1,943,758"
5/19/2023,499.39,499.39,493.92,496.52,"1,635,036"
5/18/2023,495,498.6,494.08,498.1,"2,298,859"
5/17/2023,498,498.01,491.9,495,"2,069,473"
